date,births,deaths,Likelihood of Death per Birth (%),,,
1841-01-01,254,37,15%,,,
1841-02-01,239,18,8%,,,
1841-03-01,277,12,4%,,,
1841-04-01,255,4,2%,,,11%
1841-05-01,255,2,1%,,,2%
1841-06-01,200,10,5%,,,
1841-07-01,190,16,8%,,,
1841-08-01,222,3,1%,,,
1841-09-01,213,4,2%,,,
1841-10-01,236,26,11%,,,
1841-11-01,235,53,23%,,,
1842-01-01,307,64,21%,,,
1842-02-01,311,38,12%,,,
1842-03-01,264,27,10%,,,
1842-04-01,242,26,11%,,,
1842-05-01,310,10,3%,,,
1842-06-01,273,18,7%,,,
1842-07-01,231,48,21%,,,
1842-08-01,216,55,25%,,,
1842-09-01,223,41,18%,,,
1842-10-01,242,71,29%,,,
1842-11-01,209,48,23%,,,
1842-12-01,239,75,31%,,,
1843-01-01,272,52,19%,,,
1843-02-01,263,42,16%,,,
1843-03-01,266,33,12%,,,
1843-04-01,285,34,12%,,,
1843-05-01,246,15,6%,,,
1843-06-01,196,8,4%,,,
1843-07-01,191,1,1%,,,
1843-08-01,193,3,2%,,,
1843-09-01,221,5,2%,,,
1843-10-01,250,44,18%,,,
1843-11-01,252,18,7%,,,
1843-12-01,236,19,8%,,,
1844-01-01,244,37,15%,,,
1844-02-01,257,29,11%,,,
1844-03-01,276,47,17%,,,
1844-04-01,208,36,17%,,,
1844-05-01,240,14,6%,,,
1844-06-01,224,6,3%,,,
1844-07-01,206,9,4%,,,
1844-08-01,269,17,6%,,,
1844-09-01,245,3,1%,,,
1844-10-01,248,8,3%,,,
1844-11-01,245,27,11%,,,
1844-12-01,256,27,11%,,,
1845-01-01,303,23,8%,,,
1845-02-01,274,13,5%,,,
1845-03-01,292,13,4%,,,
1845-04-01,260,11,4%,,,
1845-05-01,296,13,4%,,,
1845-06-01,280,20,7%,,,
1845-07-01,245,15,6%,,,
1845-08-01,251,9,4%,,,
1845-09-01,237,25,11%,,,
1845-10-01,283,42,15%,,,
1845-11-01,265,29,11%,,,
1845-12-01,267,28,10%,,,
1846-01-01,336,45,13%,,,
1846-02-01,293,53,18%,,,
1846-03-01,311,48,15%,,,
1846-04-01,253,48,19%,,,
1846-05-01,305,41,13%,,,
1846-06-01,266,27,10%,,,
1846-07-01,252,33,13%,,,
1846-08-01,216,39,18%,,,
1846-09-01,271,39,14%,,,
1846-10-01,254,38,15%,,,
1846-11-01,297,32,11%,,,
1846-12-01,298,16,5%,,,
1847-01-01,311,10,3%,,,
1847-02-01,312,6,2%,,,
1847-03-01,305,11,4%,,,
1847-04-01,312,57,18%,,,
1847-05-01,294,36,12%,,,
1847-06-01,268,6,2%,,,
1847-07-01,250,3,1%,,,
1847-08-01,264,5,2%,,,
1847-09-01,262,12,5%,,,
1847-10-01,278,11,4%,,,
1847-11-01,246,11,4%,,,
1847-12-01,273,8,3%,,,
1848-01-01,283,10,4%,,,
1848-02-01,291,2,1%,,,
1848-03-01,276,0,0%,,,
1848-04-01,305,2,1%,,,
1848-05-01,313,3,1%,,,
1848-06-01,264,3,1%,,,
1848-07-01,269,1,0%,,,
1848-08-01,261,0,0%,,,
1848-09-01,312,3,1%,,,
1848-10-01,299,7,2%,,,
1848-11-01,310,9,3%,,,
1848-12-01,373,5,1%,,,
1849-01-01,403,9,2%,,,
1849-02-01,389,12,3%,,,
1849-03-01,406,20,5%,,,
